position_group,cluster_id,n_players,feature,mean_z,median_z,mean_raw
FWD,0,132,gca_p90,-0.6137869311213322,-0.6523794939769276,0.21487438327113828
FWD,0,132,takeons_attempted_p90,-0.8491564378336595,-0.8462948748977134,1.5563225575597348
FWD,0,132,takeon_success_pct,-0.07184090683418119,-0.0908401493728775,39.43334045046678
FWD,0,132,prog_carries_p90,-0.9733439305312667,-0.988898575677093,1.0832799587100574
FWD,0,132,prog_passes_received_p90,-0.816949596141987,-0.8269175005664455,4.748145211303642
FWD,0,132,touches_att_pen_p90,-0.27814215828686406,-0.3404843099358167,4.0653036571227315
FWD,0,132,crosses_p90,-0.9054044150736742,-1.0024977635000127,0.481976178676206
FWD,0,132,aerials_won_p90,0.9113311952064828,0.907155627008329,2.827389628933245
FWD,0,132,fouls_drawn_p90,-0.1066596857896105,-0.0614317205763332,1.4305599298542795
FWD,0,132,tackles_p90,-0.6399710835980293,-0.7304523700707701,0.700001368769504
FWD,0,132,recoveries_p90,-0.7913194240037755,-0.7993358850301218,2.2331431012014997
FWD,0,132,passes_attempted_p90,-0.8406834298505781,-0.8297601723535242,19.6000743235554
FWD,1,108,goals_p90,-0.6686876554434096,-0.6814159368462891,0.18079455618274418
FWD,1,108,assists_p90,-0.4579200346005179,-0.5131505621884946,0.09181665526299541
FWD,1,108,npxg_p90,-0.7404831197583744,-0.8222621196532396,0.18552850255288303
FWD,1,108,shots_p90,-0.5780580776950248,-0.4957811354675109,1.9088457001211654
FWD,1,108,shot_accuracy_pct,-0.2657160695273409,-0.3566927907715669,35.90675386181725
FWD,1,108,npxg_per_shot,-0.5688969895684964,-0.6458667788169548,0.10557588123684505
FWD,1,108,xag_p90,-0.2350561974189803,-0.2589775686237606,0.12629274240238825
FWD,1,108,key_passes_p90,-0.16215143010278352,-0.2165443656381275,1.1562878849533806
FWD,1,108,gca_p90,-0.42393018828049,-0.43847848238575016,0.2537556989615686
FWD,1,108,takeons_attempted_p90,0.40479887584225493,0.4453580990851632,3.349874283826575
FWD,1,108,takeon_success_pct,-0.23254869411273005,-0.2491903086154491,38.27996257371641
FWD,1,108,prog_carries_p90,0.27398925001188407,0.35503189922392686,2.6899832237560424
FWD,1,108,prog_passes_received_p90,-0.12395645286099063,-0.15069552635395425,6.504103284101854
FWD,1,108,touches_att_pen_p90,-0.6975874209542325,-0.7140781253544266,3.4519305659246644
FWD,1,108,crosses_p90,0.45952952739468605,0.42917244474633787,2.645384510476431
FWD,1,108,aerials_won_p90,-0.3549355407090712,-0.5006706301502846,0.9770139855548882
FWD,1,108,fouls_drawn_p90,0.2994631891511854,0.37274056368477937,1.7455705677844267
FWD,1,108,tackles_p90,0.6554325480930763,0.565631329161312,1.4736337633267964
FWD,1,108,recoveries_p90,0.7552025258713405,0.7092875336636766,3.906340801965609
FWD,1,108,passes_attempted_p90,0.180929998041055,0.16492142830872464,28.14558719500294
FWD,2,107,goals_p90,-0.23243946702819113,-0.2717233086740677,0.26161185982050006
FWD,2,107,assists_p90,0.5771114133635209,0.4747449162621709,0.2130307358398343
FWD,2,107,npxg_p90,-0.500476205073908,-0.5038174925172271,0.217875041215876
FWD,2,107,shots_p90,-0.16231292097937625,-0.1814656781859098,2.2183395512148563
FWD,2,107,shot_accuracy_pct,-0.10472950049657401,-0.1281856926485079,36.94563824532684
FWD,2,107,npxg_per_shot,-0.5641928866974542,-0.6436956266317438,0.10573219371493581
